name,latitude,longitude
Hoscar,53.5977688,-2.8046076
Hough Green,53.3725786,-2.7752696
Hoylake,53.3899025,-3.1788231
Huddersfield,53.6466645,-1.7822482
Humphrey Park,53.4523337,-2.3272609
Huncoat,53.7722434,-2.3470472
Hunts Cross,53.3607333,-2.8554087
Huyton,53.409627,-2.8432195
Ince,53.539096,-2.6127432
Ince & Elton,53.2766012,-2.8166827
Irlam,53.4342044,-2.4328454
James Street,53.4050028,-2.9922097
Kearsley,53.5445245,-2.3754896
Kendal,54.3322466,-2.7401448
Kents Bank,54.1728754,-2.9252051
Keighley,53.867932,-1.9013628
Kirkby,53.4863899,-2.9028054
Kirkby-in-Furness,54.2329033,-3.1872166
Kirkby Stephen,54.4549076,-2.368703
Kirkdale,53.4407853,-2.9811665
Kirkham & Wesham,53.7869046,-2.8833796
Kirkstall Forge,53.8253007,-1.627075
Knutsford,53.3015965,-2.3721765
Lancaster,54.0488361,-2.807799
Langho,53.8048112,-2.4488239
Langwathby,54.6943632,-2.6635574
Layton,53.8353457,-3.0299186
Lazonby & Kirkoswald,54.7508153,-2.7036908
Lea Green,53.4267142,-2.7251202
Leasowe,53.4080707,-3.0999836
Leeds,53.7974185,-1.5437941
Levenshulme,53.4449044,-2.1929575
Leyland,53.6985644,-2.686555
Littleborough,53.6427541,-2.0950109
Little Sutton,53.2853509,-2.9431269
Liverpool Central,53.4042207,-2.9795092
Liverpool Lime Street,53.4076085,-2.9775854
Liverpool South Parkway,53.3576179,-2.8892004
Lockerbie,55.1224062,-3.3537892
Long Preston,54.0166575,-2.2551519
Lostock,53.5727921,-2.494764
Lostock Gralam,53.2677491,-2.4647767
Lostock Hall,53.7243497,-2.6870008
Low Moor,53.7501367,-1.7523839
Lytham,53.7393224,-2.9641884
Maghull,53.5064699,-2.9310252
Maghull North,53.5167407,-2.9212339
Manchester Airport,53.365183,-2.2720385
Manchester Oxford Road,53.4737777,-2.2422762
Manchester Piccadilly,53.4772197,-2.2301402
Manchester Victoria,53.4879748,-2.2424846
Manor Road,53.3949574,-3.1700493
Marsden,53.6032403,-1.9302115
Mauldeth Road,53.4336613,-2.208947
Maryport,54.7112989,-3.4940868
Meols,53.3994382,-3.1539246
Meols Cop,53.6460698,-2.9753812
Mill Hill,53.735339,-2.5019404
Mills Hill,53.5508557,-2.1714727
Millom,54.2110036,-3.2706093
Mirfield,53.6713909,-1.6922471
Mobberley,53.3295673,-2.3336005
Moorfields,53.4085494,-2.9892356
Moorside,53.5163626,-2.3527491
Morecambe,54.0703282,-2.8685482
Moreton,53.407278,-3.1132099
Morley,53.7505897,-1.589163
Moses Gate,53.5562667,-2.4015572
Mossley,53.5150389,-2.041538
Mossley Hill,53.3785566,-2.914829
Moss Side,53.7647531,-2.9429624
Moston,53.5232522,-2.1710273
Mouldsworth,53.2318152,-2.7322101
Mytholmroyd,53.7290839,-1.9818234
Navigation Road,53.3957446,-2.3432686
Nelson,53.8347164,-2.2142644
Neston,53.2917321,-3.062958
Nethertown,54.4562273,-3.5656239
New Brighton,53.4373879,-3.0480464
New Lane,53.6116884,-2.8677436
New Pudsey,53.8046713,-1.6805365
Newton-le-Willows,53.4531451,-2.6128853
Northwich,53.2613648,-2.4968484
Old Roan,53.4869186,-2.9506755
Ormskirk,53.5695845,-2.8809051
Orrell,53.53016,-2.7091136
Orrell Park,53.4617054,-2.9628816
Overpool,53.2840873,-2.9249263
Oxenholme Lake District,54.3050597,-2.7217774
Padgate,53.4056193,-2.5569297
Parbold,53.5908551,-2.7711373
Parton,54.5704232,-3.5807799
Patricroft,53.4848233,-2.3573446
Pemberton,53.530526,-2.6695158
Penrith North Lakes,54.6616314,-2.75899
Pleasington,53.7310487,-2.5440104
Plumley,53.2748823,-2.4196724
Port Sunlight,53.3484812,-2.9982505
Poulton-le-Fylde,53.8482922,-2.9896795
Prescot,53.4235274,-2.7989869
Preston,53.7593363,-2.6992717
Rainford,53.5171092,-2.7885785
Rainhill,53.4172066,-2.7662934
Ramsgreave & Wilpshire,53.7799943,-2.4780606
Ravenglass for Eskdale,54.3556605,-3.4088794
Ravensthorpe,53.6755716,-1.6557662
Ribblehead,54.2056394,-2.3607303
Rice Lane,53.4575059,-2.9630946
Rishton,53.7638289,-2.4201859
Roby,53.4100591,-2.8555038
Rochdale,53.6110191,-2.1544554
Rock Ferry,53.3728002,-3.0108212
Roose,54.1150592,-3.1943835
Rose Grove,53.7862655,-2.2823158
Rufford,53.6343744,-2.8079516
Runcorn,53.3385599,-2.7393871
Runcorn East,53.3279397,-2.6654958
Salford Central,53.4828774,-2.2555159
Salford Crescent,53.4862309,-2.275711
Saltaire,53.8385598,-1.7907973
Salwick,53.7817543,-2.8182384
Sandhills,53.4295369,-2.9920015
Sankey for Penketh,53.3923448,-2.6505871
Seaforth & Litherland,53.4655761,-3.0047956
Seascale,54.3962884,-3.4851711
Sellafield,54.4166451,-3.5104538
Settle,54.0669551,-2.2808342
Shipley,53.8335128,-1.7736115
Shotton,53.2136891,-3.0371817
Silecroft,54.2260891,-3.3346818
Silverdale,54.1693432,-2.8037976
Skipton,53.9584308,-2.0260314
Slaithwaite,53.6241585,-1.8806027
Smithy Bridge,53.6328465,-2.1140606
Southport,53.6468651,-3.0028279
Sowerby Bridge,53.7078483,-1.9072266
Spital,53.3400511,-2.9940923
Squires Gate,53.7769901,-3.0501715
St Annes-on-the-Sea,53.7531813,-3.02895
St Bees,54.4923531,-3.5912401
St Helens Central,53.4526608,-2.7299776
St Helens Junction,53.4337834,-2.7000869
St Michaels,53.3759381,-2.9535298
Stanlow & Thornton,53.2783095,-2.8411357
Stalybridge,53.4841386,-2.0642227
Staveley,54.3756184,-2.8190719
Steeton & Silsden,53.9000518,-1.9448075
Stockport,53.407901,-2.160243
Swinton,53.4855977,-1.3056214
Thatto Heath,53.4366896,-2.7594696
Todmorden,53.713858,-2.0997573
Town Green,53.5430207,-2.9044304
Trafford Park,53.4547767,-2.3116958
Ulverston,54.1917155,-3.0979329
Upholland,53.5284097,-2.7410475
Upton,53.3864448,-3.084131
Urmston,53.4483208,-2.3536565
Walkden,53.5197861,-2.395748
Wallasey,53.4284435,-3.0697346
Wallasey Grove Road,53.4284435,-3.0697346
Walsden,53.6965305,-2.1047674
Village,53.431742,-2.9095782
Walton,53.4563903,-2.9660572
Warrington Bank Quay,53.3859367,-2.6031782
Warrington Central,53.3919402,-2.5924167
Warrington West,53.3937436,-2.6369293
Waterloo,51.5030015,-0.1139812
Wavertree Technology Park,53.4052171,-2.9228151
Wennington,54.1236926,-2.5874211
West Allerton,53.3693253,-2.9071937
Westhoughton,53.5558849,-2.523221
West Kirby,53.3734193,-3.1837893
Wetheral,54.883738,-2.8319918
Whiston,53.413914,-2.7965205
Whitehaven,54.5532204,-3.5871793
Widnes,53.3786146,-2.7341997
Wigan North Western,53.5433996,-2.632996
Wigan Wallgate,53.5450582,-2.6342351
Wigton,54.8291227,-3.1642894
Windermere,54.3794896,-2.9033054
Workington,54.6449643,-3.558903
